field	message	count	table
datasetName	Required field datasetName is missing	1	event
institutionCode	Required field institutionCode is missing	1	event
maximumDepthInMeters	Recommended field maximumDepthInMeters is missing	1	event
minimumDepthInMeters	Recommended field minimumDepthInMeters is missing	1	event
eventID	eventID MGYA00582931 has no corresponding eventID in the core	377	occurrence
eventID	eventID MGYA00582856 has no corresponding eventID in the core	306	occurrence
eventID	eventID MGYA00582854 has no corresponding eventID in the core	290	occurrence
eventID	eventID MGYA00582870 has no corresponding eventID in the core	287	occurrence
eventID	eventID MGYA00582869 has no corresponding eventID in the core	275	occurrence
eventID	eventID MGYA00582896 has no corresponding eventID in the core	266	occurrence
eventID	eventID MGYA00582862 has no corresponding eventID in the core	263	occurrence
eventID	eventID MGYA00582858 has no corresponding eventID in the core	257	occurrence
eventID	eventID MGYA00582831 has no corresponding eventID in the core	251	occurrence
eventID	eventID MGYA00582892 has no corresponding eventID in the core	251	occurrence
eventID	eventID MGYA00582819 has no corresponding eventID in the core	249	occurrence
eventID	eventID MGYA00582876 has no corresponding eventID in the core	247	occurrence
eventID	eventID MGYA00582861 has no corresponding eventID in the core	246	occurrence
eventID	eventID MGYA00582879 has no corresponding eventID in the core	243	occurrence
eventID	eventID MGYA00582852 has no corresponding eventID in the core	240	occurrence
eventID	eventID MGYA00582860 has no corresponding eventID in the core	236	occurrence
eventID	eventID MGYA00582859 has no corresponding eventID in the core	234	occurrence
eventID	eventID MGYA00582936 has no corresponding eventID in the core	233	occurrence
eventID	eventID MGYA00582927 has no corresponding eventID in the core	232	occurrence
eventID	eventID MGYA00582878 has no corresponding eventID in the core	228	occurrence
eventID	eventID MGYA00582868 has no corresponding eventID in the core	226	occurrence
eventID	eventID MGYA00582919 has no corresponding eventID in the core	222	occurrence
eventID	eventID MGYA00582865 has no corresponding eventID in the core	220	occurrence
eventID	eventID MGYA00582885 has no corresponding eventID in the core	219	occurrence
eventID	eventID MGYA00582847 has no corresponding eventID in the core	217	occurrence
eventID	eventID MGYA00582893 has no corresponding eventID in the core	215	occurrence
eventID	eventID MGYA00582891 has no corresponding eventID in the core	214	occurrence
eventID	eventID MGYA00582864 has no corresponding eventID in the core	213	occurrence
eventID	eventID MGYA00582911 has no corresponding eventID in the core	212	occurrence
eventID	eventID MGYA00582895 has no corresponding eventID in the core	211	occurrence
eventID	eventID MGYA00582837 has no corresponding eventID in the core	210	occurrence
eventID	eventID MGYA00582849 has no corresponding eventID in the core	210	occurrence
eventID	eventID MGYA00582815 has no corresponding eventID in the core	208	occurrence
eventID	eventID MGYA00582913 has no corresponding eventID in the core	208	occurrence
eventID	eventID MGYA00582857 has no corresponding eventID in the core	206	occurrence
eventID	eventID MGYA00582929 has no corresponding eventID in the core	206	occurrence
eventID	eventID MGYA00582898 has no corresponding eventID in the core	205	occurrence
eventID	eventID MGYA00582871 has no corresponding eventID in the core	204	occurrence
eventID	eventID MGYA00582845 has no corresponding eventID in the core	203	occurrence
eventID	eventID MGYA00582866 has no corresponding eventID in the core	203	occurrence
eventID	eventID MGYA00582877 has no corresponding eventID in the core	203	occurrence
eventID	eventID MGYA00582821 has no corresponding eventID in the core	202	occurrence
eventID	eventID MGYA00582904 has no corresponding eventID in the core	202	occurrence
eventID	eventID MGYA00582855 has no corresponding eventID in the core	201	occurrence
eventID	eventID MGYA00582829 has no corresponding eventID in the core	200	occurrence
eventID	eventID MGYA00582884 has no corresponding eventID in the core	196	occurrence
eventID	eventID MGYA00582915 has no corresponding eventID in the core	196	occurrence
eventID	eventID MGYA00582824 has no corresponding eventID in the core	194	occurrence
eventID	eventID MGYA00582926 has no corresponding eventID in the core	192	occurrence
eventID	eventID MGYA00582813 has no corresponding eventID in the core	191	occurrence
eventID	eventID MGYA00582867 has no corresponding eventID in the core	191	occurrence
eventID	eventID MGYA00582935 has no corresponding eventID in the core	190	occurrence
eventID	eventID MGYA00582863 has no corresponding eventID in the core	189	occurrence
eventID	eventID MGYA00582873 has no corresponding eventID in the core	189	occurrence
eventID	eventID MGYA00582930 has no corresponding eventID in the core	187	occurrence
eventID	eventID MGYA00582835 has no corresponding eventID in the core	186	occurrence
eventID	eventID MGYA00582922 has no corresponding eventID in the core	186	occurrence
eventID	eventID MGYA00582887 has no corresponding eventID in the core	184	occurrence
eventID	eventID MGYA00582907 has no corresponding eventID in the core	183	occurrence
eventID	eventID MGYA00582880 has no corresponding eventID in the core	182	occurrence
eventID	eventID MGYA00582890 has no corresponding eventID in the core	182	occurrence
eventID	eventID MGYA00582850 has no corresponding eventID in the core	181	occurrence
eventID	eventID MGYA00582888 has no corresponding eventID in the core	180	occurrence
eventID	eventID MGYA00582851 has no corresponding eventID in the core	179	occurrence
eventID	eventID MGYA00582853 has no corresponding eventID in the core	179	occurrence
eventID	eventID MGYA00582934 has no corresponding eventID in the core	177	occurrence
eventID	eventID MGYA00582836 has no corresponding eventID in the core	175	occurrence
eventID	eventID MGYA00582848 has no corresponding eventID in the core	175	occurrence
eventID	eventID MGYA00582901 has no corresponding eventID in the core	175	occurrence
eventID	eventID MGYA00582932 has no corresponding eventID in the core	175	occurrence
eventID	eventID MGYA00582828 has no corresponding eventID in the core	174	occurrence
eventID	eventID MGYA00582833 has no corresponding eventID in the core	173	occurrence
eventID	eventID MGYA00582843 has no corresponding eventID in the core	173	occurrence
eventID	eventID MGYA00582909 has no corresponding eventID in the core	172	occurrence
eventID	eventID MGYA00582924 has no corresponding eventID in the core	171	occurrence
eventID	eventID MGYA00582872 has no corresponding eventID in the core	169	occurrence
eventID	eventID MGYA00582875 has no corresponding eventID in the core	169	occurrence
eventID	eventID MGYA00582920 has no corresponding eventID in the core	164	occurrence
eventID	eventID MGYA00582925 has no corresponding eventID in the core	164	occurrence
eventID	eventID MGYA00582906 has no corresponding eventID in the core	163	occurrence
eventID	eventID MGYA00582912 has no corresponding eventID in the core	162	occurrence
eventID	eventID MGYA00582916 has no corresponding eventID in the core	162	occurrence
eventID	eventID MGYA00582905 has no corresponding eventID in the core	161	occurrence
eventID	eventID MGYA00582917 has no corresponding eventID in the core	161	occurrence
eventID	eventID MGYA00582874 has no corresponding eventID in the core	158	occurrence
eventID	eventID MGYA00582910 has no corresponding eventID in the core	158	occurrence
eventID	eventID MGYA00582846 has no corresponding eventID in the core	157	occurrence
eventID	eventID MGYA00582894 has no corresponding eventID in the core	157	occurrence
eventID	eventID MGYA00582830 has no corresponding eventID in the core	156	occurrence
eventID	eventID MGYA00582914 has no corresponding eventID in the core	156	occurrence
eventID	eventID MGYA00582842 has no corresponding eventID in the core	155	occurrence
eventID	eventID MGYA00582908 has no corresponding eventID in the core	155	occurrence
eventID	eventID MGYA00582881 has no corresponding eventID in the core	154	occurrence
eventID	eventID MGYA00582886 has no corresponding eventID in the core	154	occurrence
eventID	eventID MGYA00582903 has no corresponding eventID in the core	154	occurrence
eventID	eventID MGYA00582834 has no corresponding eventID in the core	153	occurrence
eventID	eventID MGYA00582883 has no corresponding eventID in the core	153	occurrence
eventID	eventID MGYA00582923 has no corresponding eventID in the core	153	occurrence
eventID	eventID MGYA00582838 has no corresponding eventID in the core	152	occurrence
eventID	eventID MGYA00582921 has no corresponding eventID in the core	151	occurrence
eventID	eventID MGYA00582832 has no corresponding eventID in the core	150	occurrence
eventID	eventID MGYA00582814 has no corresponding eventID in the core	149	occurrence
eventID	eventID MGYA00582882 has no corresponding eventID in the core	149	occurrence
eventID	eventID MGYA00582822 has no corresponding eventID in the core	147	occurrence
eventID	eventID MGYA00582897 has no corresponding eventID in the core	147	occurrence
eventID	eventID MGYA00582933 has no corresponding eventID in the core	147	occurrence
eventID	eventID MGYA00582820 has no corresponding eventID in the core	146	occurrence
eventID	eventID MGYA00582826 has no corresponding eventID in the core	146	occurrence
eventID	eventID MGYA00582928 has no corresponding eventID in the core	144	occurrence
eventID	eventID MGYA00582900 has no corresponding eventID in the core	140	occurrence
eventID	eventID MGYA00582918 has no corresponding eventID in the core	140	occurrence
eventID	eventID MGYA00582841 has no corresponding eventID in the core	138	occurrence
eventID	eventID MGYA00582844 has no corresponding eventID in the core	134	occurrence
eventID	eventID MGYA00582902 has no corresponding eventID in the core	133	occurrence
eventID	eventID MGYA00582817 has no corresponding eventID in the core	132	occurrence
eventID	eventID MGYA00582889 has no corresponding eventID in the core	132	occurrence
eventID	eventID MGYA00582827 has no corresponding eventID in the core	126	occurrence
eventID	eventID MGYA00582899 has no corresponding eventID in the core	126	occurrence
eventID	eventID MGYA00582816 has no corresponding eventID in the core	116	occurrence
eventID	eventID MGYA00582840 has no corresponding eventID in the core	88	occurrence
eventID	eventID MGYA00582825 has no corresponding eventID in the core	87	occurrence
eventID	eventID MGYA00582839 has no corresponding eventID in the core	85	occurrence
eventID	eventID MGYA00582818 has no corresponding eventID in the core	60	occurrence
eventID	eventID MGYA00582823 has no corresponding eventID in the core	50	occurrence
occurrenceStatus	Required field occurrenceStatus is missing	1	occurrence
occurrence_error	Potential duplicate record	232	occurrence
scientificNameID	Required field scientificNameID is missing	1	occurrence
